datetime,open,high,low,close,volume,date
2021-01-01 09:15:00,15215.4,15282.45,15198.2,15265.05,0,
2021-01-01 10:15:00,15264.65,15266.4,15224.6,15228.65,0,
2021-01-01 11:15:00,15227.95,15239.9,15189.65,15214.0,0,
2021-01-01 12:15:00,15213.65,15235.75,15205.65,15220.35,0,
2021-01-01 13:15:00,15218.05,15238.3,15194.75,15232.25,0,
2021-01-01 14:15:00,15231.9,15244.95,15180.5,15182.2,0,
2021-01-01 15:15:00,15183.3,15191.35,15156.65,15184.5,0,
2021-01-04 09:15:00,15289.65,15290.9,15232.3,15243.4,0,
2021-01-04 10:15:00,15244.55,15255.15,15016.8,15109.2,0,
2021-01-04 11:15:00,15110.15,15179.7,15092.9,15147.8,0,
2021-01-04 12:15:00,15149.15,15182.65,15128.1,15159.35,0,
2021-01-04 13:15:00,15158.75,15178.45,15122.4,15149.3,0,
2021-01-04 14:15:00,15149.85,15199.0,15110.95,15184.85,0,
2021-01-04 15:15:00,15184.25,15220.1,15180.4,15193.05,0,
2021-01-05 09:15:00,15159.3,15219.95,15105.75,15167.9,0,
2021-01-05 10:15:00,15166.6,15265.0,15145.65,15248.85,0,
2021-01-05 11:15:00,15248.0,15278.0,15229.1,15249.35,0,
2021-01-05 12:15:00,15249.45,15288.3,15237.45,15251.95,0,
2021-01-05 13:15:00,15252.05,15322.55,15209.3,15311.75,0,
2021-01-05 14:15:00,15309.45,15390.9,15290.65,15385.1,0,
2021-01-05 15:15:00,15385.8,15405.45,15368.0,15380.55,0,
2021-01-06 09:15:00,15444.2,15451.9,15369.8,15400.3,0,
2021-01-06 10:15:00,15401.4,15415.65,15369.4,15412.65,0,
2021-01-06 11:15:00,15413.4,15413.9,15372.7,15394.35,0,
2021-01-06 12:15:00,15392.4,15429.45,15386.05,15411.8,0,
2021-01-06 13:15:00,15412.2,15438.5,15281.35,15320.15,0,
2021-01-06 14:15:00,15318.1,15426.6,15304.7,15397.55,0,
2021-01-06 15:15:00,15396.25,15406.35,15352.35,15393.95,0,
2021-01-07 09:15:00,15529.8,15530.0,15460.25,15477.0,0,
2021-01-07 10:15:00,15476.9,15521.05,15470.15,15511.05,0,
2021-01-07 11:15:00,15511.1,15522.35,15481.9,15496.75,0,
2021-01-07 12:15:00,15496.15,15540.6,15483.95,15534.95,0,
2021-01-07 13:15:00,15533.95,15535.65,15463.35,15505.45,0,
2021-01-07 14:15:00,15506.9,15515.3,15412.9,15421.75,0,
2021-01-07 15:15:00,15423.8,15427.15,15400.45,15424.55,0,
2021-01-08 09:15:00,15557.1,15557.55,15430.85,15477.95,0,
2021-01-08 10:15:00,15477.55,15515.45,15459.65,15480.0,0,
2021-01-08 11:15:00,15479.9,15528.6,15469.55,15500.25,0,
2021-01-08 12:15:00,15500.95,15521.15,15478.15,15485.4,0,
2021-01-08 13:15:00,15483.9,15497.6,15440.3,15480.45,0,
2021-01-08 14:15:00,15479.95,15530.15,15451.7,15513.25,0,
2021-01-08 15:15:00,15513.1,15531.15,15501.75,15511.15,0,
2021-01-11 09:15:00,15613.5,15626.85,15493.25,15576.5,0,
2021-01-11 10:15:00,15577.55,15577.55,15496.0,15519.65,0,
2021-01-11 11:15:00,15519.4,15571.55,15494.2,15556.9,0,
2021-01-11 12:15:00,15557.1,15569.6,15515.15,15543.95,0,
2021-01-11 13:15:00,15542.25,15581.95,15522.9,15551.7,0,
2021-01-11 14:15:00,15552.25,15608.15,15537.2,15604.6,0,
2021-01-11 15:15:00,15605.45,15623.65,15604.2,15605.1,0,
2021-01-12 09:15:00,15554.55,15591.35,15510.35,15551.8,0,
2021-01-12 10:15:00,15550.75,15568.35,15529.25,15559.8,0,
2021-01-12 11:15:00,15560.0,15633.8,15548.3,15613.15,0,
2021-01-12 12:15:00,15613.05,15703.75,15603.75,15683.2,0,
2021-01-12 13:15:00,15682.45,15732.1,15676.45,15730.9,0,
2021-01-12 14:15:00,15729.75,15733.0,15690.6,15716.8,0,
2021-01-12 15:15:00,15716.75,15720.0,15699.7,15711.95,0,
2021-01-13 09:15:00,15803.45,15848.25,15757.05,15761.45,0,
2021-01-13 10:15:00,15759.4,15760.7,15679.5,15681.65,0,
2021-01-13 11:15:00,15681.1,15691.1,15576.2,15624.3,0,
